star,date,info,content
평점5,23.02.15.,제3자 정보제공 동의: 동의합니다 / 색상: 팬텀블랙 [ZKFKOO],갤럭시 s23 팬텀 블랙으로 선택했습니다. 추천 많이하는 크림 구매할 생각이었는데 실제로 볼때 크림색이 노란 느낌이라 별로였고 그린이 색이 좋았는데 오래 사용할 생각으로 시크하면서 매트한 질감인 블랙으로 결정했어요 만족합니다 디자인은 기본이 좋았고 돈 때문에 플러스 못했는데 같은 성능에 기본도 괜찮은 화면크기고 휴대성에서 더 좋기때문에 자기 위안 해봅니다!! 자급제 비싸긴 비싸네요.. 돈 100이라니.. 오래오래 쓰겠습니다!!
평점5,23.04.07.,제3자 정보제공 동의: 동의합니다 / 색상: 크림 [ZEFKOO],어머니 생신선물로 사드렸는데 두달정도 사용중이십니다 ㅎㅎ 전에 쓰시던 모델이 S20 플러스 였는데 워낙 평판이 좋았던 모델이라 체감이 되실까 싶었는데 카메라랑 무게에서 체감이 많이 되신다고 하네요... CPU가 좋아서 전반적으로 속도 체감도 느끼시고 계십니다 ㅎㅎ 삼성이 오랜만에 괜찮은 물건 만든거 같네요  !
평점4,23.06.25.,용량: S23 512G / 색상: 크림,상품은 아주 만족해요~ A라인 한 4년쓰다가 넘어오니 속이 시원하네요ㅎ 삼페도 되고ㅎ 단점은 ... 100만원 넘게 주고 사는 물건인데 포장 상태 실화입니까?ㅎ 화장품을 하나 사도 이거보다 포장 잘해서 오는데ㅎ박스안에서 휴대폰박스가 막 굴러다니게 그냥 띡 보내져 왔더라구요ㅎ 충전 종이를 좀 더 많이 넣어서 보내줬으면 좋겠어요!! ㅎ 그래서 별 하나 빼요ㅎㅎ
평점5,23.05.24.,상세페이지안내내용동의: 동의함 / 컬러: 크림,"진짜 좋아요!!! 배송 관련으로 문의주셨을 때도 너무 상냥하셨고 아마 퇴근하신 시간 같았는데, 확인하는 대로 연락주셔서 감동했습니다!!!또, 좋은 상품을 젤리케이스랑 필름이랑 같이 받을 수 있었어서 좋았습니다이미 s23으로 켜버려서 핸드폰 사진을 못담은 게 아쉽네요... 크림색 최고!!!더욱 번창하시길 바라요ㅎㅎ"
평점5,23.09.12.,용량: S23플러스 256GB / 색상: 크림,갑자기 오래 쓰던 핸드폰이 고장나서 급하게 주문해 보았어요. 마침 쇼핑라이브랑 딱 맞아 떨어져서 잘 구매할 수 있었어요. 기본 포인트와 카드 썼을 때 주는 포인트 다 더하면 여기가 가장 싸서 정말 만족합니다.구입할 당시에 그린하고 블랙이 없어서 크림 샀는데 사신 그린이 사고 싶어서 그건 좀 아쉽고 바로 다음날 받을 수 있어서 진짜 좋았어요. 갤럭시23 플러스 아이폰보다 더 예쁘고 카메라도 좋고 정말 만족스러워요
평점4,23.04.30.,정보없음,쓰고 있던 노트 9이 슬슬 마지막이 다가오는 것 같아 구매하게 되었어요 좀더 오래 쓸줄 알고 사전예약 안했는데 이럴줄 알았으면 그때 살걸 그랬네요. 다 만족스러운데 생각보다 발열현상이 심해요. 2개 어플 동시에 조금만 돌려도 바로 발열이... 비싼 모델 쓰는 이유가 멀티성능때문인데 실망스러워요. 일반모델이라 그런지 배터리 사용시간도 아쉬워요. 그 외엔 만족스럽습니다.디자인도 예쁘고 무엇보다 크림색이 생각했던 것보다 훨씬 예쁩니다. 실물깡패에요
평점5,23.06.20.,용량: S23울트라 512GB / 색상: 크림,이전부터 울트라기종이 눈에 들어왔지만 무거워서 계속 고민하고 있었는데 눈에 아른거려서 샀습니다! 크림색으로 하니 그렇게 투박해보이지도 않고 좋아요 무엇보다 카메라가 탐났던거라 이것저것 찍어보고있는데 오랜만에 바꿔서 그런지 몰라도 만족도가 높아요 덕분에 좋은 가격으로 구매해서 만족합니다!!
평점5,23.03.24.,정보없음,"S23 일반으로 구매했는데 역시나 제가 원하는 사이즈 같아요.
기존 휴대폰이 무겁고 화면이 컸었는데, 훨씬 가볍고 휴대성도 좋고 너무 만족스러워요. 이번 모델이 디자인도 그렇치만 색상도 크림색 너무 이쁘게 잘 나온거 같아요. 다들 역대급이라도 칭찬한 이유가 있는듯요.

카드할인받고 배송도 빨리와서 넘 좋았구요 고민하시는분들께 추천하고픈 모델이예요~~"
평점4,23.04.04.,정보없음,휴대폰을 4년만에 바꿨는데 역시 좋네요.사이즈도 적당하고 그린색상 고급져보이고 좋아요.아쉬운 건 투명 케이스를 씌워도 본연의 색이 죽는건 어쩔 수 없네요. ㅜㅜ플러스나 울트라가 아니어서 그런지 배터리는 생각보다는 빨리 다는 거 같긴해요.전반적으론 다 만족합니다.
평점5,23.06.07.,용량: 256GB / 색상: 그린,어머니 휴대폰 바꿔드렸는데너무 좋아하시네요~빠르게 인식되고용량도 평소 사용하던 용량보다 많아서 너무 편리한 것 같아요. 색상도 그린색상으로 선택했는데너무 잘한 것 같아요. 저는 삼성위드모마일에서 두 번째 구매인데라이브쇼핑 때 구매하는 걸 추천드려요~ 다양한 혜택과 배송도 하루 만에 오기 때문에너무만족해요. 정말 추천해요!
